#Brand;BrandDescription;TotalQuantitySales;TotalQuantityPurchase;Profit;MarginPercent
814;Sammy's Beach Bar Rum;994;1514;-11480.40;-53
13595;Palagetto Brunello d Montlcn;251;297;2804.13;29
8274;Paul Masson Ruby Burgundy Ca;124;132;276.72;71
8171;Leroux Blackberry Brandy;34924;37016;8293.40;32
18617;Picket Fence Chard RRV;731;757;3861.03;61
19269;Peter Paul Live Free or Die;1619;1918;7669.29;26
39110;Gekkeikan Sake Horin;825;853;2723.49;40
21734;Gr Montmirail Muscat Venise;263;267;1602.14;44
13458;Ch Ste Michelle Harvest Rsl;11461;11516;37928.91;55
24449;Santa Barbara Winery Chard;15;24;17.69;7
36376;Sebastiani Pnt Nr Sonoma;590;641;2899.78;43
25284;Merryvale Cab Svgn;1219;1290;11525.11;37
27528;Bertani Due Uve White Venet;1171;1255;3670.14;40
37312;Salmon Run NY Pnt Nr;4613;5417;24091.24;56
41558;Sydney Ann Pinot Grigio Ver;123;132;440.09;39
2854;Talisker 10-Yr Single Malt;2953;3534;30682.17;23
5872;Godiva Chocolate Liqueur;19931;20416;12228.57;26
25545;Miolo  Lote 43;12;18;9.42;3
25917;Hogue Cellars WA Svgn Bl;147;192;349.09;30
18800;Haunting Whisper DeChaunac;331;334;1206.51;44
13620;Columbia Winery Cab Svgn;591;668;4702.45;132
10337;Poema Cava X-Dry Penedes;11;18;-13.91;-10
24327;La Crema Pnt Nr Sonoma Cst;15704;17856;89633.36;38
19963;Penya Rouge Vin d Pays;768;1145;-1715.68;-16
6356;Taylor Cream Sherry;5056;5133;12899.96;49
45859;Col D'Orcia Rosso di Mntlcno;236;385;-1858.91;-33
19126;Delas Cotes du Rhone;1666;1724;7257.78;50
20167;Plungerhead Lodi Cab Svgn;1764;2051;5856.58;33
15393;Cupcake Pnt Grigio;44363;45251;131378.34;64
1386;George Dickel No 8 Bourbon;1910;2095;10483.85;34
17944;Beringer Fndrs Est Malbec;14;24;-18.46;-11
2059;Backbone Blended Bourbon;683;807;1463.61;8
18594;Ninety+Cellars Lot 30 CDR;9;24;-79.41;-45
35318;Jewell Towne Marechal Foch;1183;1224;4461.63;49
25570;Steele Wines Scarlet Lake Cn;4018;4071;8870.70;46
27141;El Coto Real Rioja Rsva  10;7;30;-437.37;-65
3220;Svedka Clementine Vodka;5609;6272;15791.07;17
27406;Hourglass Estate Svgn Bl;10;120;-2700.50;-88
43291;Fish Eye Merlot;5;18;-89.85;-58
22043;Five Oaks Wh Moscato;179;180;221.21;48
23957;Angels & Cowboys Rose;864;869;3875.31;47
2810;Bib & Tucker Bourbon;1005;1151;5925.21;12
24647;Dom Perignon P2 Blanc 1998;55;76;1790.41;12
4402;Don Q Gran Anejo Rum VAP;101;564;-19058.97;-77
4545;Capel Premium Pisco;142;145;506.13;34
22899;Simi Svgn Bl;11060;11344;62157.48;84
25202;Rosenblum R Sauret Zinfandel;5547;5559;21147.09;47
24510;Tin Barn Svgn B Hi Vista Vyd;90;132;13.50;1
18943;Cannonball Merlot;79;120;-25.79;-2
44780;Nicolis Valpo Seccal Ripasso;737;768;7069.43;71
44494;Smoking Loon Pnt Grigio Cal;21783;23567;63459.07;60
21084;Glazebrook Svgn Bl Marlboro;21;36;-45.45;-14
8705;Livingston Clrs Red Rose;63;72;154.65;45
5403;Amaretto di Amore;10503;10675;30936.47;49
